destinationA	destinationB	distance
Innsbruck, Austria	Munich, Germany	166459
Innsbruck, Austria	Pag, Croatia	809356
Innsbruck, Austria	Venice, Italy	387474
Innsbruck, Austria	Tuscany, Italy	490673
Innsbruck, Austria	Florence, Italy	491748
Innsbruck, Austria	Rome, Italy	758122
Innsbruck, Austria	Vatican City	764000
Innsbruck, Austria	Pompeii, Italy	975152
Innsbruck, Austria	Gozo, Malta	1815698
Innsbruck, Austria	Dubrovnik, Croatia	1105083
Innsbruck, Austria	Santorini, Thira, Greece	2396785
Innsbruck, Austria	Vienna, Austria	476256
Innsbruck, Austria	Prague, Czech Republic	551633
Innsbruck, Austria	Krakow, Poland	905716
Innsbruck, Austria	Berlin, Germany	750597
Innsbruck, Austria	Amsterdam, Netherlands	926273
Innsbruck, Austria	Keukenhof, Stationsweg, Lisse, Netherlands	951997
Innsbruck, Austria	Glasgow, United Kingdom	1907469
Innsbruck, Austria	Edinburgh, United Kingdom	1863238
Innsbruck, Austria	Inverness, United Kingdom	2161170
Innsbruck, Austria	Stonehenge, Amesbury, United Kingdom	1359595
Innsbruck, Austria	London, United Kingdom	1236139
Innsbruck, Austria	Brussels, Belgium	836418
Innsbruck, Austria	Paris, France	929966
Innsbruck, Austria	Pamplona, Spain	1548019
Innsbruck, Austria	Lagos, Portugal	2609138
Innsbruck, Austria	Granada, Spain	2225663
Innsbruck, Austria	Barcelona, Spain	1351487
Innsbruck, Austria	Luberone, Bonnieux, France	928891
Innsbruck, Austria	Nice, France	700525
Innsbruck, Austria	Monte Carlo, Monaco	686564
Innsbruck, Austria	Interlaken, Switzerland	374335
Munich, Germany	Innsbruck, Austria	164487
Munich, Germany	Pag, Croatia	770190
Munich, Germany	Venice, Italy	545004
Munich, Germany	Tuscany, Italy	648203
Munich, Germany	Florence, Italy	649277
Munich, Germany	Rome, Italy	915652
Munich, Germany	Vatican City	921530
Munich, Germany	Pompeii, Italy	1132681
Munich, Germany	Gozo, Malta	1973227
Munich, Germany	Dubrovnik, Croatia	1065918
Munich, Germany	Santorini, Thira, Greece	2357620
Munich, Germany	Vienna, Austria	437091
Munich, Germany	Prague, Czech Republic	387481
Munich, Germany	Krakow, Poland	911920
Munich, Germany	Berlin, Germany	586445
Munich, Germany	Amsterdam, Netherlands	828028
Munich, Germany	Keukenhof, Stationsweg, Lisse, Netherlands	853751
Munich, Germany	Glasgow, United Kingdom	1819510
Munich, Germany	Edinburgh, United Kingdom	1775279
Munich, Germany	Inverness, United Kingdom	2073211
Munich, Germany	Stonehenge, Amesbury, United Kingdom	1271636
Munich, Germany	London, United Kingdom	1148180
Munich, Germany	Brussels, Belgium	782988
Munich, Germany	Paris, France	842007
Munich, Germany	Pamplona, Spain	1610794
Munich, Germany	Lagos, Portugal	2632898
Munich, Germany	Granada, Spain	2249423
Munich, Germany	Barcelona, Spain	1375246
Munich, Germany	Luberone, Bonnieux, France	999991
Munich, Germany	Nice, France	803611
Munich, Germany	Monte Carlo, Monaco	789650
Munich, Germany	Interlaken, Switzerland	433197
Pag, Croatia	Innsbruck, Austria	812397
Pag, Croatia	Munich, Germany	773993
Pag, Croatia	Venice, Italy	382191
Pag, Croatia	Tuscany, Italy	625854
Pag, Croatia	Florence, Italy	626928
Pag, Croatia	Rome, Italy	893303
Pag, Croatia	Vatican City	899181
Pag, Croatia	Pompeii, Italy	1110332
Pag, Croatia	Gozo, Malta	1950878
Pag, Croatia	Dubrovnik, Croatia	380513
Pag, Croatia	Santorini, Thira, Greece	2112590
Pag, Croatia	Vienna, Austria	660665
Pag, Croatia	Prague, Czech Republic	928857
Pag, Croatia	Krakow, Poland	1110273
Pag, Croatia	Berlin, Germany	1359808
Pag, Croatia	Amsterdam, Netherlands	1614970
Pag, Croatia	Keukenhof, Stationsweg, Lisse, Netherlands	1640694
Pag, Croatia	Glasgow, United Kingdom	2591099
Pag, Croatia	Edinburgh, United Kingdom	2546868
Pag, Croatia	Inverness, United Kingdom	2844800
Pag, Croatia	Stonehenge, Amesbury, United Kingdom	2043225
Pag, Croatia	London, United Kingdom	1919769
Pag, Croatia	Brussels, Belgium	1569931
Pag, Croatia	Paris, France	1613596
Pag, Croatia	Pamplona, Spain	1894113
Pag, Croatia	Lagos, Portugal	2863425
Pag, Croatia	Granada, Spain	2479950
Pag, Croatia	Barcelona, Spain	1605773
Pag, Croatia	Luberone, Bonnieux, France	1168223
Pag, Croatia	Nice, France	939858
Pag, Croatia	Monte Carlo, Monaco	925897
Pag, Croatia	Interlaken, Switzerland	889489
Venice, Italy	Innsbruck, Austria	387363
Venice, Italy	Munich, Germany	546206
Venice, Italy	Pag, Croatia	380965
Venice, Italy	Tuscany, Italy	257897
Venice, Italy	Florence, Italy	258971
Venice, Italy	Rome, Italy	525346
Venice, Italy	Vatican City	531224
Venice, Italy	Pompeii, Italy	742375
Venice, Italy	Gozo, Malta	1582921
Venice, Italy	Dubrovnik, Croatia	832317
Venice, Italy	Santorini, Thira, Greece	2183243
Venice, Italy	Vienna, Austria	610096
Venice, Italy	Prague, Czech Republic	813773
Venice, Italy	Krakow, Poland	1059705
Venice, Italy	Berlin, Germany	1130344
Venice, Italy	Amsterdam, Netherlands	1302782
Venice, Italy	Keukenhof, Stationsweg, Lisse, Netherlands	1328506
Venice, Italy	Glasgow, United Kingdom	2234916
Venice, Italy	Edinburgh, United Kingdom	2190685
Venice, Italy	Inverness, United Kingdom	2488616
Venice, Italy	Stonehenge, Amesbury, United Kingdom	1687041
Venice, Italy	London, United Kingdom	1563586
Venice, Italy	Brussels, Belgium	1170865
Venice, Italy	Paris, France	1111362
Venice, Italy	Pamplona, Spain	1526156
Venice, Italy	Lagos, Portugal	2495468
Venice, Italy	Granada, Spain	2111993
Venice, Italy	Barcelona, Spain	1237816
Venice, Italy	Luberone, Bonnieux, France	800266
Venice, Italy	Nice, France	571901
Venice, Italy	Monte Carlo, Monaco	557940
Venice, Italy	Interlaken, Switzerland	521532
Tuscany, Italy	Innsbruck, Austria	489317
Tuscany, Italy	Munich, Germany	648160
Tuscany, Italy	Pag, Croatia	617627
Tuscany, Italy	Venice, Italy	255846
Tuscany, Italy	Florence, Italy	796
Tuscany, Italy	Rome, Italy	273255
Tuscany, Italy	Vatican City	279133
Tuscany, Italy	Pompeii, Italy	490284
Tuscany, Italy	Gozo, Malta	1330830
Tuscany, Italy	Dubrovnik, Croatia	1068979
Tuscany, Italy	Santorini, Thira, Greece	2419905
Tuscany, Italy	Vienna, Austria	846758
Tuscany, Italy	Prague, Czech Republic	1033334
Tuscany, Italy	Krakow, Poland	1296367
Tuscany, Italy	Berlin, Germany	1232298
Tuscany, Italy	Amsterdam, Netherlands	1375088
